table_code,geography_combinations
RM140,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM141,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM142,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM143,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM144,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM145,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM146,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM147,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM148,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM149,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM150,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM151,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM152,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM153,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM154,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM155,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM156,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM157,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM158,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM160,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM161,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM162,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM163,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM164,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM165,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM166,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM167,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM168,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM169,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM170,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM171,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM172,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM173,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM174,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM175,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM176,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM177,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM178,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM179,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM180,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM181,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM182,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM183,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM184,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM185,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM186,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM187,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM188,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM189,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM190,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM191,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM192,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM193,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM194,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM195,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM196,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM197,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM198,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM200,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM201,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM202,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM203,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM204,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM205,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
ST001,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST002,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST003,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST004,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST005,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST006,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST007,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST008,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST009,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST010,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST011,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST012,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST013,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS001,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS002,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS003,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS004,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS005,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS006,"{'nat', 'ctry', 'rgn', 'utla', 'ltla', 'wpc', 'wd'}"
TS007,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS008,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS009,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS010,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS011,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS012,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS013,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS015,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS016,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS017,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS018,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS019,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS020,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS021,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS023,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS025,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS026,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS027,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS028,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS029,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS030,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS032,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS033,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS034,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS035,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS036,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS037,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS038,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS039,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS040,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS044,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS045,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS046,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS047,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS048,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS050,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS051,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS052,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS053,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS054,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS055,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS056,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS058,"{'nat', 'ctry', 'rgn', 'utla', 'ltla', 'wpc', 'wd'}"
TS059,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS060,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS061,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS062,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS063,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS064,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS065,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS066,"{'nat', 'ctry', 'rgn', 'utla', 'ltla', 'wpc', 'wd'}"
TS067,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS068,"{'nat', 'ctry', 'rgn', 'utla', 'ltla', 'wpc', 'wd'}"
TS071,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS072,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS073,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
TS074,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS075,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS076,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
TS077,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc'}"
TS078,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc'}"
TS079,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST001,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST002,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST003,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST004,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST005,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST006,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST007,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST008,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST009,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST010,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST011,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST012,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
ST013,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
