table_code,geography_combinations
RM041,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM042,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM043,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM044,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM045,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM046,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM047,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM048,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM049,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM051,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM052,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM053,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM054,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM055,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM056,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM057,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM058,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM059,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM060,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM061,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM062,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM063,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM064,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM065,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM066,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM067,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM068,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM069,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM070,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM071,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM072,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM073,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM074,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM075,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM076,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM077,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM078,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM079,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM080,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM081,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM082,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM083,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM084,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM085,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM086,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM087,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM088,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM089,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM090,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM091,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM092,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM093,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM094,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM095,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM096,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM097,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM098,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM099,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM100,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM101,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM102,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM103,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM104,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM105,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM106,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM107,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM108,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM109,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM110,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM111,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM112,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM113,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM114,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM115,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM116,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM117,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM118,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM119,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM120,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM121,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM122,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM123,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM124,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM125,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM126,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM127,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
RM128,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla'}"
